claim_id	source_id	order_key	page_id	locator	disposition	subkind	normalized_content	content_oid	exclusion_rationale	exclusion_review_ref	tombstone	superseded_by	tombstone_rationale	tombstone_review_ref
CL-TASAKI2020-0011	TASAKI2020	000015.0011	PG-TASAKI2020-0015	PDF p. 15; print p. xvii; Symbols; visible Symbols bullet 11	notation	notation	B_L denotes the bonds of the d-dimensional hypercubic lattice with periodic boundary conditions, defined in (3.1.3).	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0012	TASAKI2020	000016.0001	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 1	notation	notation	For x=(x₁,…,x_d) ∈ ℤ^d, |x| denotes the Euclidean norm.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0013	TASAKI2020	000016.0002	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 2	notation	notation	A† denotes the Hermitian conjugate of an operator or matrix A.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0014	TASAKI2020	000016.0003	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 3	notation	notation	Ŝ_x=(Ŝ_x^(1),Ŝ_x^(2),Ŝ_x^(3)) denotes the spin operator at site x, with (Ŝ_x)^2=S(S+1).	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0015	TASAKI2020	000016.0004	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 4	notation	notation	Ŝ_tot denotes total spin; eigenvalues of (Ŝ_tot)^2 and Ŝ_tot^(3) are written S_tot(S_tot+1) and S_tot (sometimes M).	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0016	TASAKI2020	000016.0005	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 5	notation	notation	The spinless single-particle Hilbert space on Λ is h ≅ ℂ^|Λ| and consists of states u=(u(x)) with u(x)∈ℂ.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0017	TASAKI2020	000016.0006	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 6	notation	notation	The spinful single-particle Hilbert space on Λ is h̃ ≅ ℂ^(2|Λ|) and consists of states u=(u(x,σ)).	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0018	TASAKI2020	000016.0007	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 7	notation	notation	ĉ_x,σ, ĉ†_x,σ, and n̂_x,σ denote the annihilation, creation, and number operators for an electron at x with spin σ.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0019	TASAKI2020	000016.0008	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 8	notation	notation	Ĉ_σ(u) and Ĉ†_σ(u) denote annihilation and creation operators for an electron in state u with spin σ.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0020	TASAKI2020	000016.0009	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 9	notation	notation	(v₁,…,v_D)^t denotes a column vector, and t denotes transpose.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0021	TASAKI2020	000016.0010	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 10	notation	notation	A bold symbol v denotes a column vector; (v)_j denotes its j-th component.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0022	TASAKI2020	000016.0011	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 11	notation	notation	v† is the conjugate row vector; ⟨v,u⟩=v†u is the inner product; uv† is the outer-product matrix.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0023	TASAKI2020	000016.0012	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 12	notation	notation	A sans-serif symbol A denotes a square matrix; (A)_i,j is its i,j entry and I is the identity matrix.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0024	TASAKI2020	000016.0013	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 13	notation	notation	|A| denotes the determinant of A.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0025	TASAKI2020	000016.0014	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 14	notation	notation	A†, A^t, and A* denote the Hermitian conjugate, transpose, and entrywise complex conjugate of A.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0026	TASAKI2020	000016.0015	PG-TASAKI2020-0016	PDF p. 16; print p. xviii; Symbols; visible Symbols bullet 15	notation	notation	For column vectors v and u, ⟨v,Au⟩ = v†Au.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0027	TASAKI2020	000020.0001	PG-TASAKI2020-0020	PDF p. 20; print p. 4; §1.2; equation (1.2.1)	assertion	equation	Ĥ = ∑_{x,y} Ŝx·Ŝy. (1.2.1)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0028	TASAKI2020	000020.0002	PG-TASAKI2020-0020	PDF p. 20; print p. 4; §1.2; paragraph 5	assertion	unnumbered_obligation	The Marshall–Lieb–Mattis theorem states that, when L is even, the ground state of Ĥ is unique and therefore preserves every symmetry of Ĥ, in particular rotational symmetry.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0029	TASAKI2020	000020.0003	PG-TASAKI2020-0020	PDF p. 20; print p. 4; §1.2; equation (1.2.2)	assertion	equation	Ĥ = −∑_{x,y} Ŝx·Ŝy. (1.2.2)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2946	TASAKI2020	000020.0004	PG-TASAKI2020-0020	PDF p. 20; print p. 4; §1.2; paragraph 6; audit split atom 1/3	assertion	unnumbered_obligation	One obtains many ground states in which the spins are mutually aligned and point in an arbitrarily chosen direction.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2947	TASAKI2020	000020.0005	PG-TASAKI2020-0020	PDF p. 20; print p. 4; §1.2; paragraph 6; audit split atom 2/3	out_of_scope	remark	This comparison already suggests that there is something “more quantum” in antiferromagnets than in ferromagnets, and that the Marshall–Lieb–Mattis theorem touches the essence of this difference.	PENDING	nonpropositional-physical-interpretation	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW	false	NONE	NONE	NONE
CL-TASAKI2020-2948	TASAKI2020	000020.0006	PG-TASAKI2020-0020	PDF p. 20; print p. 4; §1.2; paragraph 6; audit split atom 3/3	assertion	remark	It may be worth noting that the difference between antiferromagnetic and ferromagnetic systems is apparent even in the simplest possible quantum spin systems, namely, that of two spins with spin quantum number S = 1/2.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0031	TASAKI2020	000021.0001	PG-TASAKI2020-0021	PDF p. 21; print p. 5; §1.2; equation (1.2.3)	assertion	equation	|Φ0,0⟩ = (1/√2)(|↑⟩1|↓⟩2 − |↓⟩1|↑⟩2). (1.2.3)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0032	TASAKI2020	000021.0002	PG-TASAKI2020-0021	PDF p. 21; print p. 5; §1.2; equation (1.2.4)	assertion	equation	|Φ1,1⟩ = |↑⟩1|↑⟩2,  |Φ1,0⟩ = (1/√2)(|↑⟩1|↓⟩2 + |↓⟩1|↑⟩2),  |Φ1,−1⟩ = |↓⟩1|↓⟩2. (1.2.4)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0033	TASAKI2020	000022.0001	PG-TASAKI2020-0022	PDF p. 22; print p. 6; §1.2; paragraph 2	assertion	unnumbered_obligation	The nature of the ground state for the most basic model with S = 1/2 had been studied by using the Bethe ansatz method. (Here S denotes the spin quantum number, which takes the values S = 1/2, 1, 3/2, 2, . . ..) It was found that the ground state is critical, i.e., the correlation functions decay with power law, and there are gapless excitations immediately above the ground state.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2949	TASAKI2020	000023.0001	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 1	assertion	remark	It seems that Haldane’s conclusion was totally against common beliefs of experts of the day.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2950	TASAKI2020	000023.0002	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 1	assertion	unnumbered_obligation	People referred to Haldane's conclusion as the “Haldane conjecture” in the 1980s, possibly because it opposed prevailing expert belief.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3334	TASAKI2020	000023.0003	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 1	assertion	unnumbered_obligation	The validity of Haldane's conclusion was gradually established through experimental, numerical, theoretical, and mathematical work.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2951	TASAKI2020	000023.0004	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 2	assertion	remark	A strong theoretical (and mathematical) support to Haldane’s conclusion was provided by Affleck, Kennedy, Lieb, and Tasaki in 1987 [1, 2].	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2952	TASAKI2020	000023.0005	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 2; audit split atom 4/15	assertion	unnumbered_obligation	They proposed a model of S = 1 antiferromagnetic spin chain whose ground state can be written down explicitly.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0035	TASAKI2020	000023.0006	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; equation (1.2.5)	assertion	equation	ĤAKLT = ∑_{x=1}^L {Ŝx·Ŝx+1 + (1/3)(Ŝx·Ŝx+1)²}. (1.2.5)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2953	TASAKI2020	000023.0007	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 2; audit split atom 5/15	assertion	unnumbered_obligation	The Hamiltonian of the model, now called the AKLT model, is given by (1.2.5) and has an additional biquadratic term compared with the Heisenberg Hamiltonian (1.2.1).	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2954	TASAKI2020	000023.0008	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 2; atom 1	assertion	unnumbered_obligation	The AKLT ground state is unique.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3335	TASAKI2020	000023.0009	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 2; atom 2	assertion	unnumbered_obligation	The AKLT ground state is accompanied by a nonzero gap.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3336	TASAKI2020	000023.0010	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 2; atom 3	assertion	unnumbered_obligation	AKLT ground-state correlations decay exponentially.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2955	TASAKI2020	000023.0011	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 2; audit split atom 7/15	out_of_scope	conjecture	It is now believed that the AKLT model represents the universality class of models exhibiting Haldane phenomena.	PENDING	belief-report-not-source-conjecture	CORPUS-NORMALIZATION-INDEPENDENT-REVIEW	false	NONE	NONE	NONE
CL-TASAKI2020-2956	TASAKI2020	000023.0012	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 3	assertion	unnumbered_obligation	The AKLT ground state is a matrix-product state.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3337	TASAKI2020	000023.0013	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 3	assertion	unnumbered_obligation	Fannes, Nachtergaele, and Werner proposed and formulated matrix-product states in 1989.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2957	TASAKI2020	000023.0014	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 3	assertion	remark	MPS efficiently approximate a large class of one-dimensional many-body states.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3338	TASAKI2020	000023.0015	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 3	assertion	remark	MPS play major roles in condensed-matter physics, mathematical physics, and quantum information.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2959	TASAKI2020	000023.0016	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 4	assertion	unnumbered_obligation	The AKLT ground state has hidden antiferromagnetic order.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3339	TASAKI2020	000023.0017	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 4	assertion	unnumbered_obligation	An open AKLT chain has effective S=1/2 edge degrees of freedom.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2960	TASAKI2020	000023.0018	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 4	assertion	unnumbered_obligation	It was later pointed out by den Nijs and Rommelses [7] and by Kennedy [20] that these exotic properties are shared by a class of models which includes the Heisenberg model.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2961	TASAKI2020	000023.0019	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 4	assertion	remark	Kennedy and Tasaki noted that these properties can be interpreted as consequences of spontaneous breakdown of the hidden Z2 × Z2 symmetry [21].	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2962	TASAKI2020	000023.0020	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 5	conjecture	conjecture	All these observations suggest that the S = 1 antiferromagnetic Heisenberg chain and the AKLT model, which have exotic disordered ground states, belong to a new quantum phase which should be called the “Haldane phase”.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2963	TASAKI2020	000023.0021	PG-TASAKI2020-0023	PDF p. 23; print p. 7; §1.2; paragraph 5	assertion	remark	The true nature of the new phase remained unclear until Gu and Wen pointed out in 2009 that the Haldane phase should be identified as a symmetry protected topological (SPT) phase [13].	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2964	TASAKI2020	000024.0001	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; opening continuation paragraph	assertion	unnumbered_obligation	Pollmann, Turner, Berg, and Oshikawa determined the complete symmetry set protecting the Haldane phase.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3340	TASAKI2020	000024.0002	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; opening continuation paragraph	assertion	unnumbered_obligation	They defined MPS indices characterizing the topological phases.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2966	TASAKI2020	000024.0003	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; opening continuation paragraph	assertion	remark	Finally, in 2018 and 2019, by using sophisticated notions in operator algebraic approach to quantum many-body systems, Ogata developed fully rigorous index theorems, which essentially solves the problem of SPT phases in quantum spin chains [31, 32].	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2968	TASAKI2020	000024.0004	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; paragraph beginning “In this part”	assertion	remark	The latter is of considerable interest as a simple model exhibiting topological order, which is distinct from (and probably more important than) symmetry protected topological order.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-2971	TASAKI2020	000024.0005	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; Heisenberg-history and Hubbard-introduction paragraphs	assertion	remark	Heisenberg argued from a two-electron perturbation theory that Coulomb interaction and fermionic many-body dynamics produce ferromagnetic exchange.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-3341	TASAKI2020	000024.0006	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; Heisenberg-history and Hubbard-introduction paragraphs	assertion	remark	Kanamori, Gutzwiller, and Hubbard independently introduced the Hubbard model to study ferromagnetism in many-electron systems.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0037	TASAKI2020	000024.0007	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; equation (1.2.6)	assertion	equation	Ĥ = ∑_{x,y}∑_{σ=↑,↓} tx,y ĉx,σ†ĉy,σ + U∑x n̂x,↑n̂x,↓. (1.2.6)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0038	TASAKI2020	000024.0008	PG-TASAKI2020-0024	PDF p. 24; print p. 8; §1.2; paragraph 3, atom 2	assertion	unnumbered_obligation	We shall carefully explain in Sect. 9.2 the description (also known as the “second quantization” formalism) of many-electron systems in terms of creation and annihilation operators, the motivations behind the definition of the Hamiltonian (1.2.6), and the basics about non-interacting fermion systems.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0039	TASAKI2020	000028.0001	PG-TASAKI2020-0028	PDF p. 28; print p. 13; §2.1; paragraph 2	definition	definition	In this preparatory chapter, we define quantum spin systems, and discuss basic features of the ground states of the Heisenberg models.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0040	TASAKI2020	000028.0002	PG-TASAKI2020-0028	PDF p. 28; print p. 13; §2.1; equation (2.1.1)	assertion	equation	[Ŝ^(α),Ŝ^(β)] = i∑_{γ=1,2,3} εαβγ Ŝ^(γ). (2.1.1)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0041	TASAKI2020	000029.0001	PG-TASAKI2020-0029	PDF p. 29; print p. 14; §2.1; equation (2.1.2)	assertion	equation	Ŝ^(3)|ψσ⟩ = σ|ψσ⟩. (2.1.2)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0042	TASAKI2020	000029.0002	PG-TASAKI2020-0029	PDF p. 29; print p. 14; §2.1; equation (2.1.3)	assertion	equation	Ŝ±|ψσ⟩ = √{S(S+1)−σ(σ±1)} |ψσ±1⟩. (2.1.3)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0043	TASAKI2020	000029.0003	PG-TASAKI2020-0029	PDF p. 29; print p. 14; §2.1; equation (2.1.4)	assertion	equation	Ŝ^(3)|ψ^↑⟩=(1/2)|ψ^↑⟩, Ŝ^(3)|ψ^↓⟩=−(1/2)|ψ^↓⟩. (2.1.4)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0044	TASAKI2020	000029.0004	PG-TASAKI2020-0029	PDF p. 29; print p. 14; §2.1; equation (2.1.5)	assertion	equation	Ŝ^+|ψ^↑⟩=0, Ŝ^−|ψ^↑⟩=|ψ^↓⟩, Ŝ^+|ψ^↓⟩=|ψ^↑⟩, Ŝ^−|ψ^↓⟩=0. (2.1.5)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0045	TASAKI2020	000029.0005	PG-TASAKI2020-0029	PDF p. 29; print p. 14; §2.1; equation (2.1.6)	assertion	equation	|ψσ⟩ = (0,…,1_(S−σ+1),…,0)^T. (2.1.6)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0047	TASAKI2020	000029.0006	PG-TASAKI2020-0029	PDF p. 29; print p. 14; §2.1; paragraph 2, atom 2	hypothesis	hypothesis	We assume Ŝ²=S(S+1), where S is a fixed spin quantum number taking one of the values 1/2,1,3/2,2,… .	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0048	TASAKI2020	000030.0001	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; equation (2.1.7)	assertion	equation	Ŝ^(1)=(1/2)[[0,1],[1,0]], Ŝ^(2)=(1/2)[[0,−i],[i,0]], Ŝ^(3)=(1/2)[[1,0],[0,−1]]. (2.1.7)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0049	TASAKI2020	000030.0002	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; equation (2.1.8)	assertion	equation	σ̂^(1)=[[0,1],[1,0]], σ̂^(2)=[[0,−i],[i,0]], σ̂^(3)=[[1,0],[0,−1]]. (2.1.8)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0050	TASAKI2020	000030.0003	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; equation (2.1.9)	assertion	equation	Ŝ^(1) = (1/√2)((0,1,0),(1,0,1),(0,1,0)),  Ŝ^(2) = (1/√2)((0,−i,0),(i,0,−i),(0,i,0)),  Ŝ^(3) = ((1,0,0),(0,0,0),(0,0,−1)). (2.1.9)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0051	TASAKI2020	000030.0004	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; Problem 2.1.a	assertion	problem	Problem 2.1.a Show that any operator on h0 (i.e., any (2S + 1) × (2S + 1) matrix) can be written as a polynomial of 1̂, Ŝ (1) , Ŝ (2) , and Ŝ (3) . [solution→p.493]	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0052	TASAKI2020	000030.0005	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; paragraph 6, atom 1	assertion	unnumbered_obligation	Note that (A.2.20) implies Ûθ(α) Ûϕ(α) = Ûθ+ϕ (α) .	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0053	TASAKI2020	000030.0006	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; paragraph 6, atom 2	domain	domain	Take any spin state |ψ⟩ and write its transform as |ψ′⟩=Û_θ^(α)|ψ⟩.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0054	TASAKI2020	000030.0007	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; paragraph 6, atom 3	assertion	remark	Since this is true for any |ψ⟩, we find that the transformation from ( Ŝ (1) , Ŝ (2) , Ŝ (3) ) into ((Ûθ(α) )† Ŝ (1) Ûθ(α) , (Ûθ(α) )† Ŝ (2) Ûθ(α) , (Ûθ(α) )† Ŝ (3) Ûθ(α) ) should also obey the same rule.	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0055	TASAKI2020	000030.0008	PG-TASAKI2020-0030	PDF p. 30; print p. 15; §2.1; equation (2.1.10)	assertion	equation	((Ûθ^(α))†Ŝ^(1)Ûθ^(α),(Ûθ^(α))†Ŝ^(2)Ûθ^(α),(Ûθ^(α))†Ŝ^(3)Ûθ^(α))^T = Rθ^(α)(Ŝ^(1),Ŝ^(2),Ŝ^(3))^T. (2.1.10)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0056	TASAKI2020	000031.0001	PG-TASAKI2020-0031	PDF p. 31; print p. 16; §2.1; paragraph 2	notation	notation	The Cartesian rotation matrices are R_θ^(1)=[[1,0,0],[0,cosθ,−sinθ],[0,sinθ,cosθ]], R_θ^(2)=[[cosθ,0,sinθ],[0,1,0],[−sinθ,0,cosθ]], and R_θ^(3)=[[cosθ,−sinθ,0],[sinθ,cosθ,0],[0,0,1]]. (2.1.11)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0057	TASAKI2020	000031.0002	PG-TASAKI2020-0031	PDF p. 31; print p. 16; §2.1; equation (2.1.11)	assertion	equation	Rθ^(1)=((1,0,0),(0,cosθ,−sinθ),(0,sinθ,cosθ)),  Rθ^(2)=((cosθ,0,sinθ),(0,1,0),(−sinθ,0,cosθ)),  Rθ^(3)=((cosθ,−sinθ,0),(sinθ,cosθ,0),(0,0,1)). (2.1.11)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0058	TASAKI2020	000031.0003	PG-TASAKI2020-0031	PDF p. 31; print p. 16; §2.1; equation (2.1.12)	assertion	equation	(R_θ^(α))_{β,γ}={δ_{β,γ}cosθ−ε_{αβγ}sinθ if α≠β; δ_{α,γ} if α=β}. (2.1.12)	PENDING	NONE	NONE	false	NONE	NONE	NONE
CL-TASAKI2020-0059	TASAKI2020	000031.0004	PG-TASAKI2020-0031	PDF p. 31; print p. 16; §2.1; equation (2.1.13)	assertion	equation	(Û_θ^(3))†Ŝ^(1)Û_θ^(3)=cosθ Ŝ^(1)−sinθ Ŝ^(2). (2.1.13)	PENDING	NONE	NONE	false	NONE	NONE	NONE
